0 tensor(28.8001, device='cuda:0')
1 tensor(53.3105, device='cuda:0')
2 tensor(62.2572, device='cuda:0')
3 tensor(67.0808, device='cuda:0')
4 tensor(70.1822, device='cuda:0')
5 tensor(72.3840, device='cuda:0')
6 tensor(73.9713, device='cuda:0')
7 tensor(75.3444, device='cuda:0')
8 tensor(76.4470, device='cuda:0')
9 tensor(77.2959, device='cuda:0')
10 tensor(78.1522, device='cuda:0')
11 tensor(78.6913, device='cuda:0')
12 tensor(79.3409, device='cuda:0')
13 tensor(79.8393, device='cuda:0')
14 tensor(80.2692, device='cuda:0')
15 tensor(80.6699, device='cuda:0')
16 tensor(80.9960, device='cuda:0')
17 tensor(81.3437, device='cuda:0')
18 tensor(81.6445, device='cuda:0')
19 tensor(81.9336, device='cuda:0')
20 tensor(82.2177, device='cuda:0')
21 tensor(82.4631, device='cuda:0')
22 tensor(82.7174, device='cuda:0')
23 tensor(82.9412, device='cuda:0')
24 tensor(83.1306, device='cuda:0')
25 tensor(83.3558, device='cuda:0')
26 tensor(83.5283, device='cuda:0')
27 tensor(83.6474, device='cuda:0')
28 tensor(83.9143, device='cuda:0')
29 tensor(84.0881, device='cuda:0')
30 tensor(84.2630, device='cuda:0')
31 tensor(84.3905, device='cuda:0')
32 tensor(84.5358, device='cuda:0')
33 tensor(84.7532, device='cuda:0')
34 tensor(84.8286, device='cuda:0')
35 tensor(84.9815, device='cuda:0')
36 tensor(85.1996, device='cuda:0')
37 tensor(85.2853, device='cuda:0')
38 tensor(85.4553, device='cuda:0')
39 tensor(85.6063, device='cuda:0')
40 tensor(85.7156, device='cuda:0')
41 tensor(85.8415, device='cuda:0')
42 tensor(85.9851, device='cuda:0')
43 tensor(86.0690, device='cuda:0')
44 tensor(86.2137, device='cuda:0')
45 tensor(86.3380, device='cuda:0')
46 tensor(86.5193, device='cuda:0')
47 tensor(86.6380, device='cuda:0')
48 tensor(86.6964, device='cuda:0')
49 tensor(86.8920, device='cuda:0')
50 tensor(87.0027, device='cuda:0')
51 tensor(87.1037, device='cuda:0')
52 tensor(87.2309, device='cuda:0')
53 tensor(87.3573, device='cuda:0')
54 tensor(87.4762, device='cuda:0')
55 tensor(87.5840, device='cuda:0')
56 tensor(87.7192, device='cuda:0')
57 tensor(87.8477, device='cuda:0')
58 tensor(87.9487, device='cuda:0')
59 tensor(88.0479, device='cuda:0')
60 tensor(88.1912, device='cuda:0')
61 tensor(88.3208, device='cuda:0')
62 tensor(88.4673, device='cuda:0')
63 tensor(88.5367, device='cuda:0')
64 tensor(88.6542, device='cuda:0')
65 tensor(88.7895, device='cuda:0')
66 tensor(88.8797, device='cuda:0')
67 tensor(89.0337, device='cuda:0')
68 tensor(89.1077, device='cuda:0')
69 tensor(89.2269, device='cuda:0')
70 tensor(89.3485, device='cuda:0')
71 tensor(89.4427, device='cuda:0')
72 tensor(89.5629, device='cuda:0')
73 tensor(89.6838, device='cuda:0')
74 tensor(89.7994, device='cuda:0')
75 tensor(89.9117, device='cuda:0')
76 tensor(90.0111, device='cuda:0')
77 tensor(90.1346, device='cuda:0')
78 tensor(90.1954, device='cuda:0')
79 tensor(90.2824, device='cuda:0')
80 tensor(90.4235, device='cuda:0')
81 tensor(90.4956, device='cuda:0')
82 tensor(90.5966, device='cuda:0')
83 tensor(90.6532, device='cuda:0')
84 tensor(90.7414, device='cuda:0')
85 tensor(90.8073, device='cuda:0')
86 tensor(90.8738, device='cuda:0')
87 tensor(90.9355, device='cuda:0')
88 tensor(91.0416, device='cuda:0')
89 tensor(91.0889, device='cuda:0')
90 tensor(91.1273, device='cuda:0')
91 tensor(91.1647, device='cuda:0')
92 tensor(91.1780, device='cuda:0')
93 tensor(91.2426, device='cuda:0')
94 tensor(91.2596, device='cuda:0')
95 tensor(91.2862, device='cuda:0')
96 tensor(91.3089, device='cuda:0')
97 tensor(91.2725, device='cuda:0')
98 tensor(91.2851, device='cuda:0')
99 tensor(91.3537, device='cuda:0')
