0 tensor(10.9932, device='cuda:0')
1 tensor(39.1670, device='cuda:0')
2 tensor(55.3445, device='cuda:0')
3 tensor(63.2929, device='cuda:0')
4 tensor(67.1041, device='cuda:0')
5 tensor(69.4094, device='cuda:0')
6 tensor(71.3971, device='cuda:0')
7 tensor(72.6702, device='cuda:0')
8 tensor(73.6181, device='cuda:0')
9 tensor(74.3620, device='cuda:0')
10 tensor(74.9908, device='cuda:0')
11 tensor(75.4017, device='cuda:0')
12 tensor(75.8708, device='cuda:0')
13 tensor(76.1400, device='cuda:0')
14 tensor(76.4499, device='cuda:0')
15 tensor(76.6535, device='cuda:0')
16 tensor(76.8823, device='cuda:0')
17 tensor(77.1157, device='cuda:0')
18 tensor(77.3254, device='cuda:0')
19 tensor(77.4788, device='cuda:0')
20 tensor(77.6390, device='cuda:0')
21 tensor(77.7987, device='cuda:0')
22 tensor(77.9279, device='cuda:0')
23 tensor(78.1250, device='cuda:0')
24 tensor(78.2192, device='cuda:0')
25 tensor(78.3210, device='cuda:0')
26 tensor(78.5127, device='cuda:0')
27 tensor(78.6390, device='cuda:0')
28 tensor(78.7862, device='cuda:0')
29 tensor(78.9331, device='cuda:0')
30 tensor(79.0623, device='cuda:0')
31 tensor(79.2470, device='cuda:0')
32 tensor(79.3163, device='cuda:0')
33 tensor(79.4932, device='cuda:0')
34 tensor(79.5965, device='cuda:0')
35 tensor(79.7735, device='cuda:0')
36 tensor(79.8936, device='cuda:0')
37 tensor(80.0504, device='cuda:0')
38 tensor(80.2379, device='cuda:0')
39 tensor(80.3648, device='cuda:0')
40 tensor(80.5000, device='cuda:0')
41 tensor(80.6105, device='cuda:0')
42 tensor(80.8078, device='cuda:0')
43 tensor(81.0158, device='cuda:0')
44 tensor(81.1926, device='cuda:0')
45 tensor(81.3133, device='cuda:0')
46 tensor(81.5108, device='cuda:0')
47 tensor(81.6989, device='cuda:0')
48 tensor(81.8616, device='cuda:0')
49 tensor(82.0404, device='cuda:0')
50 tensor(82.2573, device='cuda:0')
51 tensor(82.4459, device='cuda:0')
52 tensor(82.6262, device='cuda:0')
53 tensor(82.8306, device='cuda:0')
54 tensor(82.9607, device='cuda:0')
55 tensor(83.2261, device='cuda:0')
56 tensor(83.3954, device='cuda:0')
57 tensor(83.6397, device='cuda:0')
58 tensor(83.7956, device='cuda:0')
59 tensor(84.0717, device='cuda:0')
60 tensor(84.2958, device='cuda:0')
61 tensor(84.5396, device='cuda:0')
62 tensor(84.7425, device='cuda:0')
63 tensor(84.9566, device='cuda:0')
64 tensor(85.2201, device='cuda:0')
65 tensor(85.4437, device='cuda:0')
66 tensor(85.7295, device='cuda:0')
67 tensor(85.9328, device='cuda:0')
68 tensor(86.2059, device='cuda:0')
69 tensor(86.4647, device='cuda:0')
70 tensor(86.7391, device='cuda:0')
71 tensor(86.9917, device='cuda:0')
72 tensor(87.2782, device='cuda:0')
73 tensor(87.5239, device='cuda:0')
74 tensor(87.7685, device='cuda:0')
75 tensor(88.1096, device='cuda:0')
76 tensor(88.3819, device='cuda:0')
77 tensor(88.6812, device='cuda:0')
78 tensor(88.9412, device='cuda:0')
79 tensor(89.2842, device='cuda:0')
80 tensor(89.5770, device='cuda:0')
81 tensor(89.8679, device='cuda:0')
82 tensor(90.1440, device='cuda:0')
83 tensor(90.4736, device='cuda:0')
84 tensor(90.7658, device='cuda:0')
85 tensor(91.1182, device='cuda:0')
86 tensor(91.3873, device='cuda:0')
87 tensor(91.7384, device='cuda:0')
88 tensor(92.0179, device='cuda:0')
89 tensor(92.2730, device='cuda:0')
90 tensor(92.5566, device='cuda:0')
91 tensor(92.8295, device='cuda:0')
92 tensor(93.0173, device='cuda:0')
93 tensor(93.2596, device='cuda:0')
94 tensor(93.4039, device='cuda:0')
95 tensor(93.5428, device='cuda:0')
96 tensor(93.6517, device='cuda:0')
97 tensor(93.7759, device='cuda:0')
98 tensor(93.7452, device='cuda:0')
99 tensor(93.8221, device='cuda:0')
