0 tensor(3.9518, device='cuda:0')
1 tensor(18.7611, device='cuda:0')
2 tensor(30.7193, device='cuda:0')
3 tensor(37.7934, device='cuda:0')
4 tensor(41.5812, device='cuda:0')
5 tensor(44.0358, device='cuda:0')
6 tensor(46.1453, device='cuda:0')
7 tensor(47.6950, device='cuda:0')
8 tensor(48.7418, device='cuda:0')
9 tensor(49.6689, device='cuda:0')
10 tensor(50.3926, device='cuda:0')
11 tensor(50.9773, device='cuda:0')
12 tensor(51.5088, device='cuda:0')
13 tensor(51.8178, device='cuda:0')
14 tensor(52.1658, device='cuda:0')
15 tensor(52.5215, device='cuda:0')
16 tensor(52.8142, device='cuda:0')
17 tensor(53.1196, device='cuda:0')
18 tensor(53.3283, device='cuda:0')
19 tensor(53.5781, device='cuda:0')
20 tensor(53.7638, device='cuda:0')
21 tensor(53.9658, device='cuda:0')
22 tensor(54.1235, device='cuda:0')
23 tensor(54.4085, device='cuda:0')
24 tensor(54.6315, device='cuda:0')
25 tensor(54.7333, device='cuda:0')
26 tensor(54.9856, device='cuda:0')
27 tensor(55.1834, device='cuda:0')
28 tensor(55.3520, device='cuda:0')
29 tensor(55.5863, device='cuda:0')
30 tensor(55.8040, device='cuda:0')
31 tensor(55.9808, device='cuda:0')
32 tensor(56.1589, device='cuda:0')
33 tensor(56.2968, device='cuda:0')
34 tensor(56.5452, device='cuda:0')
35 tensor(56.7208, device='cuda:0')
36 tensor(56.9381, device='cuda:0')
37 tensor(57.1651, device='cuda:0')
38 tensor(57.3522, device='cuda:0')
39 tensor(57.5671, device='cuda:0')
40 tensor(57.8502, device='cuda:0')
41 tensor(57.9790, device='cuda:0')
42 tensor(58.2686, device='cuda:0')
43 tensor(58.5058, device='cuda:0')
44 tensor(58.8026, device='cuda:0')
45 tensor(58.9791, device='cuda:0')
46 tensor(59.2511, device='cuda:0')
47 tensor(59.4683, device='cuda:0')
48 tensor(59.7701, device='cuda:0')
49 tensor(60.0406, device='cuda:0')
50 tensor(60.3428, device='cuda:0')
51 tensor(60.6210, device='cuda:0')
52 tensor(60.8763, device='cuda:0')
53 tensor(61.1456, device='cuda:0')
54 tensor(61.4494, device='cuda:0')
55 tensor(61.7722, device='cuda:0')
56 tensor(62.1050, device='cuda:0')
57 tensor(62.4138, device='cuda:0')
58 tensor(62.6850, device='cuda:0')
59 tensor(63.0520, device='cuda:0')
60 tensor(63.4459, device='cuda:0')
61 tensor(63.7528, device='cuda:0')
62 tensor(64.1481, device='cuda:0')
63 tensor(64.5015, device='cuda:0')
64 tensor(64.8467, device='cuda:0')
65 tensor(65.2821, device='cuda:0')
66 tensor(65.6592, device='cuda:0')
67 tensor(66.0732, device='cuda:0')
68 tensor(66.4682, device='cuda:0')
69 tensor(66.8744, device='cuda:0')
70 tensor(67.3387, device='cuda:0')
71 tensor(67.7256, device='cuda:0')
72 tensor(68.2365, device='cuda:0')
73 tensor(68.6535, device='cuda:0')
74 tensor(69.1376, device='cuda:0')
75 tensor(69.6511, device='cuda:0')
76 tensor(70.1190, device='cuda:0')
77 tensor(70.6675, device='cuda:0')
78 tensor(71.1998, device='cuda:0')
79 tensor(71.8244, device='cuda:0')
80 tensor(72.2915, device='cuda:0')
81 tensor(72.9241, device='cuda:0')
82 tensor(73.4714, device='cuda:0')
83 tensor(74.0931, device='cuda:0')
84 tensor(74.7085, device='cuda:0')
85 tensor(75.3217, device='cuda:0')
86 tensor(76.0050, device='cuda:0')
87 tensor(76.6257, device='cuda:0')
88 tensor(77.2513, device='cuda:0')
89 tensor(77.8699, device='cuda:0')
90 tensor(78.4828, device='cuda:0')
91 tensor(79.1131, device='cuda:0')
92 tensor(79.6030, device='cuda:0')
93 tensor(80.1269, device='cuda:0')
94 tensor(80.5709, device='cuda:0')
95 tensor(80.9385, device='cuda:0')
96 tensor(81.1928, device='cuda:0')
97 tensor(81.4466, device='cuda:0')
98 tensor(81.4686, device='cuda:0')
99 tensor(81.5780, device='cuda:0')
