0 tensor(12.5589, device='cuda:0')
1 tensor(42.7565, device='cuda:0')
2 tensor(58.2958, device='cuda:0')
3 tensor(65.8437, device='cuda:0')
4 tensor(69.2756, device='cuda:0')
5 tensor(71.4974, device='cuda:0')
6 tensor(73.3571, device='cuda:0')
7 tensor(74.6591, device='cuda:0')
8 tensor(75.5815, device='cuda:0')
9 tensor(76.2420, device='cuda:0')
10 tensor(76.8405, device='cuda:0')
11 tensor(77.3211, device='cuda:0')
12 tensor(77.7326, device='cuda:0')
13 tensor(78.0136, device='cuda:0')
14 tensor(78.2959, device='cuda:0')
15 tensor(78.6562, device='cuda:0')
16 tensor(78.8251, device='cuda:0')
17 tensor(79.0471, device='cuda:0')
18 tensor(79.2441, device='cuda:0')
19 tensor(79.4286, device='cuda:0')
20 tensor(79.5651, device='cuda:0')
21 tensor(79.7522, device='cuda:0')
22 tensor(79.9445, device='cuda:0')
23 tensor(80.0670, device='cuda:0')
24 tensor(80.1852, device='cuda:0')
25 tensor(80.3299, device='cuda:0')
26 tensor(80.5009, device='cuda:0')
27 tensor(80.6190, device='cuda:0')
28 tensor(80.7598, device='cuda:0')
29 tensor(80.8758, device='cuda:0')
30 tensor(81.0432, device='cuda:0')
31 tensor(81.2112, device='cuda:0')
32 tensor(81.2915, device='cuda:0')
33 tensor(81.5043, device='cuda:0')
34 tensor(81.6160, device='cuda:0')
35 tensor(81.7719, device='cuda:0')
36 tensor(81.9252, device='cuda:0')
37 tensor(82.0521, device='cuda:0')
38 tensor(82.2348, device='cuda:0')
39 tensor(82.4029, device='cuda:0')
40 tensor(82.4757, device='cuda:0')
41 tensor(82.6833, device='cuda:0')
42 tensor(82.7998, device='cuda:0')
43 tensor(82.9737, device='cuda:0')
44 tensor(83.1488, device='cuda:0')
45 tensor(83.2531, device='cuda:0')
46 tensor(83.4814, device='cuda:0')
47 tensor(83.6555, device='cuda:0')
48 tensor(83.7944, device='cuda:0')
49 tensor(84.0043, device='cuda:0')
50 tensor(84.1668, device='cuda:0')
51 tensor(84.3122, device='cuda:0')
52 tensor(84.5153, device='cuda:0')
53 tensor(84.7068, device='cuda:0')
54 tensor(84.9293, device='cuda:0')
55 tensor(85.1370, device='cuda:0')
56 tensor(85.3301, device='cuda:0')
57 tensor(85.5110, device='cuda:0')
58 tensor(85.7062, device='cuda:0')
59 tensor(85.9426, device='cuda:0')
60 tensor(86.1582, device='cuda:0')
61 tensor(86.3876, device='cuda:0')
62 tensor(86.5928, device='cuda:0')
63 tensor(86.7956, device='cuda:0')
64 tensor(87.0412, device='cuda:0')
65 tensor(87.2515, device='cuda:0')
66 tensor(87.4805, device='cuda:0')
67 tensor(87.7578, device='cuda:0')
68 tensor(88.0308, device='cuda:0')
69 tensor(88.2719, device='cuda:0')
70 tensor(88.4877, device='cuda:0')
71 tensor(88.7795, device='cuda:0')
72 tensor(89.0013, device='cuda:0')
73 tensor(89.3161, device='cuda:0')
74 tensor(89.5436, device='cuda:0')
75 tensor(89.7973, device='cuda:0')
76 tensor(90.0821, device='cuda:0')
77 tensor(90.3913, device='cuda:0')
78 tensor(90.6712, device='cuda:0')
79 tensor(90.9604, device='cuda:0')
80 tensor(91.2344, device='cuda:0')
81 tensor(91.5339, device='cuda:0')
82 tensor(91.8118, device='cuda:0')
83 tensor(92.1028, device='cuda:0')
84 tensor(92.3862, device='cuda:0')
85 tensor(92.7119, device='cuda:0')
86 tensor(92.9390, device='cuda:0')
87 tensor(93.2814, device='cuda:0')
88 tensor(93.5289, device='cuda:0')
89 tensor(93.8143, device='cuda:0')
90 tensor(93.9976, device='cuda:0')
91 tensor(94.2028, device='cuda:0')
92 tensor(94.4548, device='cuda:0')
93 tensor(94.5722, device='cuda:0')
94 tensor(94.7491, device='cuda:0')
95 tensor(94.8643, device='cuda:0')
96 tensor(94.9569, device='cuda:0')
97 tensor(95.0326, device='cuda:0')
98 tensor(95.0667, device='cuda:0')
99 tensor(95.0689, device='cuda:0')

