0 tensor(9.4231, device='cuda:0')
1 tensor(22.8295, device='cuda:0')
2 tensor(30.2327, device='cuda:0')
3 tensor(34.8847, device='cuda:0')
4 tensor(38.1007, device='cuda:0')
5 tensor(40.6214, device='cuda:0')
6 tensor(42.4589, device='cuda:0')
7 tensor(43.9138, device='cuda:0')
8 tensor(45.1449, device='cuda:0')
9 tensor(46.1163, device='cuda:0')
10 tensor(47.0164, device='cuda:0')
11 tensor(47.7423, device='cuda:0')
12 tensor(48.4821, device='cuda:0')
13 tensor(49.0146, device='cuda:0')
14 tensor(49.5142, device='cuda:0')
15 tensor(49.9853, device='cuda:0')
16 tensor(50.4773, device='cuda:0')
17 tensor(50.8569, device='cuda:0')
18 tensor(51.1895, device='cuda:0')
19 tensor(51.4911, device='cuda:0')
20 tensor(51.8549, device='cuda:0')
21 tensor(52.0331, device='cuda:0')
22 tensor(52.4039, device='cuda:0')
23 tensor(52.6177, device='cuda:0')
24 tensor(52.9366, device='cuda:0')
25 tensor(53.1482, device='cuda:0')
26 tensor(53.3369, device='cuda:0')
27 tensor(53.6153, device='cuda:0')
28 tensor(53.8152, device='cuda:0')
29 tensor(53.9792, device='cuda:0')
30 tensor(54.1561, device='cuda:0')
31 tensor(54.4353, device='cuda:0')
32 tensor(54.5547, device='cuda:0')
33 tensor(54.7805, device='cuda:0')
34 tensor(54.8953, device='cuda:0')
35 tensor(55.1502, device='cuda:0')
36 tensor(55.3081, device='cuda:0')
37 tensor(55.5451, device='cuda:0')
38 tensor(55.7255, device='cuda:0')
39 tensor(55.7748, device='cuda:0')
40 tensor(56.0022, device='cuda:0')
41 tensor(56.0690, device='cuda:0')
42 tensor(56.3311, device='cuda:0')
43 tensor(56.4678, device='cuda:0')
44 tensor(56.6946, device='cuda:0')
45 tensor(56.8391, device='cuda:0')
46 tensor(56.9839, device='cuda:0')
47 tensor(57.1222, device='cuda:0')
48 tensor(57.3665, device='cuda:0')
49 tensor(57.4838, device='cuda:0')
50 tensor(57.6093, device='cuda:0')
51 tensor(57.8198, device='cuda:0')
52 tensor(57.9659, device='cuda:0')
53 tensor(58.1107, device='cuda:0')
54 tensor(58.2551, device='cuda:0')
55 tensor(58.4474, device='cuda:0')
56 tensor(58.5866, device='cuda:0')
57 tensor(58.7906, device='cuda:0')
58 tensor(58.8835, device='cuda:0')
59 tensor(59.1231, device='cuda:0')
60 tensor(59.2065, device='cuda:0')
61 tensor(59.4043, device='cuda:0')
62 tensor(59.5645, device='cuda:0')
63 tensor(59.7544, device='cuda:0')
64 tensor(59.9301, device='cuda:0')
65 tensor(60.1037, device='cuda:0')
66 tensor(60.2460, device='cuda:0')
67 tensor(60.3924, device='cuda:0')
68 tensor(60.6562, device='cuda:0')
69 tensor(60.7772, device='cuda:0')
70 tensor(60.8732, device='cuda:0')
71 tensor(61.0256, device='cuda:0')
72 tensor(61.2206, device='cuda:0')
73 tensor(61.4028, device='cuda:0')
74 tensor(61.5615, device='cuda:0')
75 tensor(61.7401, device='cuda:0')
76 tensor(61.8855, device='cuda:0')
77 tensor(62.0237, device='cuda:0')
78 tensor(62.1206, device='cuda:0')
79 tensor(62.3459, device='cuda:0')
80 tensor(62.5068, device='cuda:0')
81 tensor(62.5923, device='cuda:0')
82 tensor(62.6811, device='cuda:0')
83 tensor(62.8960, device='cuda:0')
84 tensor(63.0241, device='cuda:0')
85 tensor(63.1513, device='cuda:0')
86 tensor(63.2969, device='cuda:0')
87 tensor(63.3667, device='cuda:0')
88 tensor(63.4182, device='cuda:0')
89 tensor(63.5117, device='cuda:0')
90 tensor(63.6414, device='cuda:0')
91 tensor(63.6705, device='cuda:0')
92 tensor(63.7235, device='cuda:0')
93 tensor(63.7764, device='cuda:0')
94 tensor(63.9108, device='cuda:0')
95 tensor(63.8886, device='cuda:0')
96 tensor(63.9897, device='cuda:0')
97 tensor(63.9244, device='cuda:0')
98 tensor(64.0062, device='cuda:0')
99 tensor(64.0460, device='cuda:0')
