0 tensor(9.2299, device='cuda:0')
1 tensor(37.2823, device='cuda:0')
2 tensor(54.9508, device='cuda:0')
3 tensor(63.2938, device='cuda:0')
4 tensor(67.1894, device='cuda:0')
5 tensor(69.7494, device='cuda:0')
6 tensor(71.8325, device='cuda:0')
7 tensor(73.2011, device='cuda:0')
8 tensor(74.2425, device='cuda:0')
9 tensor(75.0323, device='cuda:0')
10 tensor(75.5948, device='cuda:0')
11 tensor(76.1097, device='cuda:0')
12 tensor(76.5543, device='cuda:0')
13 tensor(76.8997, device='cuda:0')
14 tensor(77.1887, device='cuda:0')
15 tensor(77.4546, device='cuda:0')
16 tensor(77.6853, device='cuda:0')
17 tensor(77.9006, device='cuda:0')
18 tensor(78.0986, device='cuda:0')
19 tensor(78.3139, device='cuda:0')
20 tensor(78.4590, device='cuda:0')
21 tensor(78.6576, device='cuda:0')
22 tensor(78.7745, device='cuda:0')
23 tensor(78.9602, device='cuda:0')
24 tensor(79.1256, device='cuda:0')
25 tensor(79.2878, device='cuda:0')
26 tensor(79.4064, device='cuda:0')
27 tensor(79.5310, device='cuda:0')
28 tensor(79.6209, device='cuda:0')
29 tensor(79.7886, device='cuda:0')
30 tensor(79.9431, device='cuda:0')
31 tensor(80.1150, device='cuda:0')
32 tensor(80.1992, device='cuda:0')
33 tensor(80.4021, device='cuda:0')
34 tensor(80.4942, device='cuda:0')
35 tensor(80.5819, device='cuda:0')
36 tensor(80.7599, device='cuda:0')
37 tensor(80.9044, device='cuda:0')
38 tensor(81.0730, device='cuda:0')
39 tensor(81.1965, device='cuda:0')
40 tensor(81.3089, device='cuda:0')
41 tensor(81.5189, device='cuda:0')
42 tensor(81.6428, device='cuda:0')
43 tensor(81.8270, device='cuda:0')
44 tensor(81.9974, device='cuda:0')
45 tensor(82.1702, device='cuda:0')
46 tensor(82.3481, device='cuda:0')
47 tensor(82.5272, device='cuda:0')
48 tensor(82.7143, device='cuda:0')
49 tensor(82.8268, device='cuda:0')
50 tensor(83.1041, device='cuda:0')
51 tensor(83.2526, device='cuda:0')
52 tensor(83.4460, device='cuda:0')
53 tensor(83.6699, device='cuda:0')
54 tensor(83.8468, device='cuda:0')
55 tensor(84.0417, device='cuda:0')
56 tensor(84.2495, device='cuda:0')
57 tensor(84.4717, device='cuda:0')
58 tensor(84.6574, device='cuda:0')
59 tensor(84.8489, device='cuda:0')
60 tensor(85.0973, device='cuda:0')
61 tensor(85.3649, device='cuda:0')
62 tensor(85.6150, device='cuda:0')
63 tensor(85.7646, device='cuda:0')
64 tensor(86.0423, device='cuda:0')
65 tensor(86.2578, device='cuda:0')
66 tensor(86.5190, device='cuda:0')
67 tensor(86.7765, device='cuda:0')
68 tensor(87.0580, device='cuda:0')
69 tensor(87.2689, device='cuda:0')
70 tensor(87.5055, device='cuda:0')
71 tensor(87.8491, device='cuda:0')
72 tensor(88.1079, device='cuda:0')
73 tensor(88.3485, device='cuda:0')
74 tensor(88.6870, device='cuda:0')
75 tensor(88.9388, device='cuda:0')
76 tensor(89.2175, device='cuda:0')
77 tensor(89.4827, device='cuda:0')
78 tensor(89.8074, device='cuda:0')
79 tensor(90.0644, device='cuda:0')
80 tensor(90.3888, device='cuda:0')
81 tensor(90.6983, device='cuda:0')
82 tensor(91.0141, device='cuda:0')
83 tensor(91.3309, device='cuda:0')
84 tensor(91.6763, device='cuda:0')
85 tensor(91.9329, device='cuda:0')
86 tensor(92.2787, device='cuda:0')
87 tensor(92.5450, device='cuda:0')
88 tensor(92.8567, device='cuda:0')
89 tensor(93.0993, device='cuda:0')
90 tensor(93.4148, device='cuda:0')
91 tensor(93.6349, device='cuda:0')
92 tensor(93.8583, device='cuda:0')
93 tensor(94.0732, device='cuda:0')
94 tensor(94.2072, device='cuda:0')
95 tensor(94.3926, device='cuda:0')
96 tensor(94.4785, device='cuda:0')
97 tensor(94.5649, device='cuda:0')
98 tensor(94.6040, device='cuda:0')
99 tensor(94.6301, device='cuda:0')
